ID,SystemCodeNumber,Capacity,Lat_x,Long_x,Occupancy,Vehicle,Traffic,QueueLength,IsSpecialDay,Date,Time,Timestamp,Occ_rate,Demand_rate_min,nearest_system
10497,Others-CCCPS119a,2803,26.14754061,91.72797041,238,car,average,2,0,2016-10-04,08:25:00,2016-10-04 08:25:00,8.49090260435248,1.6538461538461537,Others-CCCPS8
17057,Shopping,1920,26.15050395,91.73353109,761,car,low,2,0,2016-10-04,08:25:00,2016-10-04 08:25:00,39.635416666666664,5.653846153846154,BHMEURBRD01
5249,BHMNCPHST01,1200,26.14001386,91.73099967,315,bike,low,2,0,2016-10-04,08:25:00,2016-10-04 08:25:00,26.25,3.0,BHMNCPNST01
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,2016-10-04,08:25:00,2016-10-04 08:25:00,11.091854419410744,0.11538461538461539,BHMBCCTHL01
14434,Others-CCCPS8,1322,26.14754886,91.72799519,518,car,average,3,0,2016-10-04,08:59:00,2016-10-04 08:59:00,39.183055975794254,1.1764705882352942,Others-CCCPS119a
1314,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,40.05167958656331,0.7647058823529411,BHMBCCMKT01
10498,Others-CCCPS119a,2803,26.14754061,91.72797041,323,car,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,11.52336782019265,2.5,Others-CCCPS8
17058,Shopping,1920,26.15050395,91.73353109,958,car,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,49.895833333333336,5.794117647058823,BHMEURBRD01
11810,Others-CCCPS135a,3883,26.14749943,91.72800489,2007,car,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,51.6868400721092,15.882352941176471,Others-CCCPS202
7874,Broad Street,690,26.13795775,91.74099445,415,bike,low,3,0,2016-10-04,08:59:00,2016-10-04 08:59:00,60.14492753623188,4.294117647058823,BHMBCCTHL01
6562,BHMNCPNST01,485,26.14004753,91.73097233,278,car,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,57.319587628865975,0.3235294117647059,BHMNCPHST01
2626,BHMEURBRD01,470,26.14901995,91.7395035,269,truck,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,57.234042553191486,2.7941176470588234,Shopping
3938,BHMMBMMBX01,687,20.0000347,78.00000286,346,truck,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,50.36390101892285,1.2941176470588236,BHMNCPHST01
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,13.864818024263432,0.47058823529411764,BHMBCCTHL01
15746,Others-CCCPS98,3103,26.14749998,91.72797778,792,car,low,3,0,2016-10-04,08:59:00,2016-10-04 08:59:00,25.523686754753466,3.3529411764705883,Others-CCCPS135a
5250,BHMNCPHST01,1200,26.14001386,91.73099967,441,car,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,36.75,3.7058823529411766,BHMNCPNST01
13122,Others-CCCPS202,2937,26.14749053,91.72799688,848,bike,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,28.872999659516513,5.382352941176471,Others-CCCPS135a
9186,Others-CCCPS105a,2009,26.14747299,91.72804914,864,car,low,2,0,2016-10-04,08:59:00,2016-10-04 08:59:00,43.00647088103534,2.4705882352941178,Others-CCCPS202
2627,BHMEURBRD01,470,26.14901995,91.7395035,351,cycle,low,3,0,2016-10-04,09:32:00,2016-10-04 09:32:00,74.68085106382979,2.484848484848485,Shopping
1315,BHMBCCTHL01,387,26.14449459,91.73620513,204,cycle,low,2,0,2016-10-04,09:32:00,2016-10-04 09:32:00,52.71317829457365,1.4848484848484849,BHMBCCMKT01
13123,Others-CCCPS202,2937,26.14749053,91.72799688,1036,car,low,3,0,2016-10-04,09:32:00,2016-10-04 09:32:00,35.27408920667347,5.696969696969697,Others-CCCPS135a
14435,Others-CCCPS8,1322,26.14754886,91.72799519,590,cycle,low,3,0,2016-10-04,09:32:00,2016-10-04 09:32:00,44.62934947049924,2.1818181818181817,Others-CCCPS119a
7875,Broad Street,690,26.13795775,91.74099445,530,car,low,2,0,2016-10-04,09:32:00,2016-10-04 09:32:00,76.81159420289855,3.484848484848485,BHMBCCTHL01
15747,Others-CCCPS98,3103,26.14749998,91.72797778,932,car,low,3,0,2016-10-04,09:32:00,2016-10-04 09:32:00,30.035449564937156,4.242424242424242,Others-CCCPS135a
10499,Others-CCCPS119a,2803,26.14754061,91.72797041,420,bike,low,2,0,2016-10-04,09:32:00,2016-10-04 09:32:00,14.983945772386727,2.9393939393939394,Others-CCCPS8
9187,Others-CCCPS105a,2009,26.14747299,91.72804914,1004,car,low,3,0,2016-10-04,09:32:00,2016-10-04 09:32:00,49.975111996017915,4.242424242424242,Others-CCCPS202
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,2016-10-04,09:32:00,2016-10-04 09:32:00,18.544194107452338,0.8181818181818182,BHMBCCTHL01
17059,Shopping,1920,26.15050395,91.73353109,1121,cycle,low,3,0,2016-10-04,09:32:00,2016-10-04 09:32:00,58.385416666666664,4.9393939393939394,BHMEURBRD01
11811,Others-CCCPS135a,3883,26.14749943,91.72800489,2502,bike,low,3,0,2016-10-04,09:32:00,2016-10-04 09:32:00,64.43471542621684,15.0,Others-CCCPS202
3939,BHMMBMMBX01,687,20.0000347,78.00000286,414,truck,low,2,0,2016-10-04,09:32:00,2016-10-04 09:32:00,60.26200873362445,2.0606060606060606,BHMNCPHST01
5251,BHMNCPHST01,1200,26.14001386,91.73099967,552,bike,low,2,0,2016-10-04,09:32:00,2016-10-04 09:32:00,46.0,3.3636363636363638,BHMNCPNST01
6563,BHMNCPNST01,485,26.14004753,91.73097233,302,truck,low,3,0,2016-10-04,09:32:00,2016-10-04 09:32:00,62.2680412371134,0.7272727272727273,BHMNCPHST01
5252,BHMNCPHST01,1200,26.14001386,91.73099967,638,car,low,2,0,2016-10-04,09:59:00,2016-10-04 09:59:00,53.166666666666664,3.185185185185185,BHMNCPNST01
17060,Shopping,1920,26.15050395,91.73353109,1254,truck,low,3,0,2016-10-04,09:59:00,2016-10-04 09:59:00,65.3125,4.925925925925926,BHMEURBRD01
14436,Others-CCCPS8,1322,26.14754886,91.72799519,657,truck,low,3,0,2016-10-04,09:59:00,2016-10-04 09:59:00,49.69742813918306,2.4814814814814814,Others-CCCPS119a
2628,BHMEURBRD01,470,26.14901995,91.7395035,397,bike,low,2,0,2016-10-04,09:59:00,2016-10-04 09:59:00,84.46808510638299,1.7037037037037037,Shopping
15748,Others-CCCPS98,3103,26.14749998,91.72797778,1052,cycle,low,3,0,2016-10-04,09:59:00,2016-10-04 09:59:00,33.90267483080889,4.444444444444445,Others-CCCPS135a
10500,Others-CCCPS119a,2803,26.14754061,91.72797041,476,car,low,3,0,2016-10-04,09:59:00,2016-10-04 09:59:00,16.98180520870496,2.074074074074074,Others-CCCPS8
1316,BHMBCCTHL01,387,26.14449459,91.73620513,236,car,low,2,0,2016-10-04,09:59:00,2016-10-04 09:59:00,60.98191214470285,1.1851851851851851,BHMBCCMKT01
9188,Others-CCCPS105a,2009,26.14747299,91.72804914,1142,car,low,3,0,2016-10-04,09:59:00,2016-10-04 09:59:00,56.84420109507218,5.111111111111111,Others-CCCPS202
13124,Others-CCCPS202,2937,26.14749053,91.72799688,1163,car,low,3,0,2016-10-04,09:59:00,2016-10-04 09:59:00,39.598229485869936,4.703703703703703,Others-CCCPS135a
7876,Broad Street,690,26.13795775,91.74099445,600,car,low,2,0,2016-10-04,09:59:00,2016-10-04 09:59:00,86.95652173913044,2.5925925925925926,BHMBCCTHL01
6564,BHMNCPNST01,485,26.14004753,91.73097233,327,car,average,3,0,2016-10-04,09:59:00,2016-10-04 09:59:00,67.42268041237114,0.9259259259259259,BHMNCPHST01
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,2016-10-04,09:59:00,2016-10-04 09:59:00,25.99653379549394,1.5925925925925926,BHMBCCTHL01
11812,Others-CCCPS135a,3883,26.14749943,91.72800489,2802,truck,low,3,0,2016-10-04,09:59:00,2016-10-04 09:59:00,72.16070048931239,11.11111111111111,Others-CCCPS202
3940,BHMMBMMBX01,687,20.0000347,78.00000286,485,car,low,3,0,2016-10-04,09:59:00,2016-10-04 09:59:00,70.59679767103349,2.6296296296296298,BHMNCPHST01
14437,Others-CCCPS8,1322,26.14754886,91.72799519,715,car,low,3,0,2016-10-04,10:26:00,2016-10-04 10:26:00,54.08472012102874,2.1481481481481484,Others-CCCPS119a
2629,BHMEURBRD01,470,26.14901995,91.7395035,430,car,low,3,0,2016-10-04,10:26:00,2016-10-04 10:26:00,91.48936170212765,1.2222222222222223,Shopping
15749,Others-CCCPS98,3103,26.14749998,91.72797778,1142,car,low,4,0,2016-10-04,10:26:00,2016-10-04 10:26:00,36.8030937802127,3.3333333333333335,Others-CCCPS135a
7877,Broad Street,690,26.13795775,91.74099445,642,car,low,4,0,2016-10-04,10:26:00,2016-10-04 10:26:00,93.04347826086956,1.5555555555555556,BHMBCCTHL01
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,2016-10-04,10:26:00,2016-10-04 10:26:00,30.675909878682845,1.0,BHMBCCTHL01
9189,Others-CCCPS105a,2009,26.14747299,91.72804914,1245,truck,low,4,0,2016-10-04,10:26:00,2016-10-04 10:26:00,61.971129915380786,3.814814814814815,Others-CCCPS202
10501,Others-CCCPS119a,2803,26.14754061,91.72797041,525,cycle,low,4,0,2016-10-04,10:26:00,2016-10-04 10:26:00,18.729932215483412,1.8148148148148149,Others-CCCPS8
5253,BHMNCPHST01,1200,26.14001386,91.73099967,686,car,average,4,0,2016-10-04,10:26:00,2016-10-04 10:26:00,57.166666666666664,1.7777777777777777,BHMNCPNST01
13125,Others-CCCPS202,2937,26.14749053,91.72799688,1257,car,low,3,0,2016-10-04,10:26:00,2016-10-04 10:26:00,42.79877425944842,3.4814814814814814,Others-CCCPS135a
11813,Others-CCCPS135a,3883,26.14749943,91.72800489,3035,car,low,5,0,2016-10-04,10:26:00,2016-10-04 10:26:00,78.16121555498327,8.62962962962963,Others-CCCPS202
17061,Shopping,1920,26.15050395,91.73353109,1324,car,low,4,0,2016-10-04,10:26:00,2016-10-04 10:26:00,68.95833333333333,2.5925925925925926,BHMEURBRD01
3941,BHMMBMMBX01,687,20.0000347,78.00000286,530,car,average,5,0,2016-10-04,10:26:00,2016-10-04 10:26:00,77.14701601164484,1.6666666666666667,BHMNCPHST01
6565,BHMNCPNST01,485,26.14004753,91.73097233,351,car,low,3,0,2016-10-04,10:26:00,2016-10-04 10:26:00,72.37113402061856,0.8888888888888888,BHMNCPHST01
1317,BHMBCCTHL01,387,26.14449459,91.73620513,264,car,low,3,0,2016-10-04,10:26:00,2016-10-04 10:26:00,68.21705426356588,1.037037037037037,BHMBCCMKT01
17062,Shopping,1920,26.15050395,91.73353109,1387,car,average,5,0,2016-10-04,10:59:00,2016-10-04 10:59:00,72.23958333333333,1.9090909090909092,BHMEURBRD01
5254,BHMNCPHST01,1200,26.14001386,91.73099967,729,car,average,4,0,2016-10-04,10:59:00,2016-10-04 10:59:00,60.75000000000001,1.303030303030303,BHMNCPNST01
13126,Others-CCCPS202,2937,26.14749053,91.72799688,1354,bike,high,7,0,2016-10-04,10:59:00,2016-10-04 10:59:00,46.10146407899217,2.9393939393939394,Others-CCCPS135a
15750,Others-CCCPS98,3103,26.14749998,91.72797778,1210,car,average,5,0,2016-10-04,10:59:00,2016-10-04 10:59:00,38.99452143087335,2.0606060606060606,Others-CCCPS135a
11814,Others-CCCPS135a,3883,26.14749943,91.72800489,3169,car,average,6,0,2016-10-04,10:59:00,2016-10-04 10:59:00,81.6121555498326,4.0606060606060606,Others-CCCPS202
3942,BHMMBMMBX01,687,20.0000347,78.00000286,573,car,average,4,0,2016-10-04,10:59:00,2016-10-04 10:59:00,83.4061135371179,1.303030303030303,BHMNCPHST01
7878,Broad Street,690,26.13795775,91.74099445,675,bike,average,4,0,2016-10-04,10:59:00,2016-10-04 10:59:00,97.82608695652173,1.0,BHMBCCTHL01
6566,BHMNCPNST01,485,26.14004753,91.73097233,371,car,high,6,0,2016-10-04,10:59:00,2016-10-04 10:59:00,76.49484536082474,0.6060606060606061,BHMNCPHST01
14438,Others-CCCPS8,1322,26.14754886,91.72799519,791,car,average,4,0,2016-10-04,10:59:00,2016-10-04 10:59:00,59.833585476550674,2.303030303030303,Others-CCCPS119a
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,2016-10-04,10:59:00,2016-10-04 10:59:00,37.954939341421145,1.2727272727272727,BHMBCCTHL01
1318,BHMBCCTHL01,387,26.14449459,91.73620513,308,car,average,4,0,2016-10-04,10:59:00,2016-10-04 10:59:00,79.58656330749353,1.3333333333333333,BHMBCCMKT01
10502,Others-CCCPS119a,2803,26.14754061,91.72797041,574,truck,average,4,0,2016-10-04,10:59:00,2016-10-04 10:59:00,20.478059222261862,1.4848484848484849,Others-CCCPS8
2630,BHMEURBRD01,470,26.14901995,91.7395035,458,cycle,high,6,0,2016-10-04,10:59:00,2016-10-04 10:59:00,97.44680851063829,0.8484848484848485,Shopping
9190,Others-CCCPS105a,2009,26.14747299,91.72804914,1364,bike,average,5,0,2016-10-04,10:59:00,2016-10-04 10:59:00,67.89447486311599,3.606060606060606,Others-CCCPS202
17063,Shopping,1920,26.15050395,91.73353109,1428,truck,average,6,0,2016-10-04,11:25:00,2016-10-04 11:25:00,74.375,1.5769230769230769,BHMEURBRD01
5255,BHMNCPHST01,1200,26.14001386,91.73099967,765,car,average,5,0,2016-10-04,11:25:00,2016-10-04 11:25:00,63.74999999999999,1.3846153846153846,BHMNCPNST01
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,2016-10-04,11:25:00,2016-10-04 11:25:00,42.80762564991335,1.0769230769230769,BHMBCCTHL01
14439,Others-CCCPS8,1322,26.14754886,91.72799519,820,truck,average,5,0,2016-10-04,11:25:00,2016-10-04 11:25:00,62.02723146747352,1.1153846153846154,Others-CCCPS119a
13127,Others-CCCPS202,2937,26.14749053,91.72799688,1369,bike,average,6,0,2016-10-04,11:25:00,2016-10-04 11:25:00,46.61218930881852,0.5769230769230769,Others-CCCPS135a
9191,Others-CCCPS105a,2009,26.14747299,91.72804914,1424,bike,average,6,0,2016-10-04,11:25:00,2016-10-04 11:25:00,70.88103534096565,2.3076923076923075,Others-CCCPS202
2631,BHMEURBRD01,470,26.14901995,91.7395035,464,car,average,5,0,2016-10-04,11:25:00,2016-10-04 11:25:00,98.72340425531915,0.23076923076923078,Shopping
15751,Others-CCCPS98,3103,26.14749998,91.72797778,1241,truck,high,9,0,2016-10-04,11:25:00,2016-10-04 11:25:00,39.99355462455688,1.1923076923076923,Others-CCCPS135a
11815,Others-CCCPS135a,3883,26.14749943,91.72800489,3221,truck,average,7,0,2016-10-04,11:25:00,2016-10-04 11:25:00,82.9513262941025,2.0,Others-CCCPS202
3943,BHMMBMMBX01,687,20.0000347,78.00000286,604,bike,average,5,0,2016-10-04,11:25:00,2016-10-04 11:25:00,87.91848617176127,1.1923076923076923,BHMNCPHST01
10503,Others-CCCPS119a,2803,26.14754061,91.72797041,588,truck,average,5,0,2016-10-04,11:25:00,2016-10-04 11:25:00,20.97752408134142,0.5384615384615384,Others-CCCPS8
1319,BHMBCCTHL01,387,26.14449459,91.73620513,324,bike,average,5,0,2016-10-04,11:25:00,2016-10-04 11:25:00,83.72093023255815,0.6153846153846154,BHMBCCMKT01
6567,BHMNCPNST01,485,26.14004753,91.73097233,373,truck,high,7,0,2016-10-04,11:25:00,2016-10-04 11:25:00,76.90721649484537,0.07692307692307693,BHMNCPHST01
7879,Broad Street,690,26.13795775,91.74099445,672,car,average,6,0,2016-10-04,11:25:00,2016-10-04 11:25:00,97.3913043478261,-0.11538461538461539,BHMBCCTHL01
15752,Others-CCCPS98,3103,26.14749998,91.72797778,1288,bike,average,6,0,2016-10-04,11:59:00,2016-10-04 11:59:00,41.50821785368998,1.3823529411764706,Others-CCCPS135a
11816,Others-CCCPS135a,3883,26.14749943,91.72800489,3248,bike,average,7,0,2016-10-04,11:59:00,2016-10-04 11:59:00,83.6466649497811,0.7941176470588235,Others-CCCPS202
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,2016-10-04,11:59:00,2016-10-04 11:59:00,44.88734835355286,0.35294117647058826,BHMBCCTHL01
13128,Others-CCCPS202,2937,26.14749053,91.72799688,1390,car,average,6,0,2016-10-04,11:59:00,2016-10-04 11:59:00,47.327204630575416,0.6176470588235294,Others-CCCPS135a
10504,Others-CCCPS119a,2803,26.14754061,91.72797041,605,car,average,5,0,2016-10-04,11:59:00,2016-10-04 11:59:00,21.584017124509455,0.5,Others-CCCPS8
1320,BHMBCCTHL01,387,26.14449459,91.73620513,332,car,average,5,0,2016-10-04,11:59:00,2016-10-04 11:59:00,85.78811369509044,0.23529411764705882,BHMBCCMKT01
9192,Others-CCCPS105a,2009,26.14747299,91.72804914,1470,bike,average,6,0,2016-10-04,11:59:00,2016-10-04 11:59:00,73.17073170731707,1.3529411764705883,Others-CCCPS202
14440,Others-CCCPS8,1322,26.14754886,91.72799519,836,car,high,8,0,2016-10-04,11:59:00,2016-10-04 11:59:00,63.2375189107413,0.47058823529411764,Others-CCCPS119a
7880,Broad Street,690,26.13795775,91.74099445,677,car,high,7,0,2016-10-04,11:59:00,2016-10-04 11:59:00,98.1159420289855,0.14705882352941177,BHMBCCTHL01
17064,Shopping,1920,26.15050395,91.73353109,1447,car,average,6,0,2016-10-04,11:59:00,2016-10-04 11:59:00,75.36458333333333,0.5588235294117647,BHMEURBRD01
6568,BHMNCPNST01,485,26.14004753,91.73097233,381,car,high,7,0,2016-10-04,11:59:00,2016-10-04 11:59:00,78.55670103092784,0.23529411764705882,BHMNCPHST01
5256,BHMNCPHST01,1200,26.14001386,91.73099967,771,car,average,6,0,2016-10-04,11:59:00,2016-10-04 11:59:00,64.25,0.17647058823529413,BHMNCPNST01
3944,BHMMBMMBX01,687,20.0000347,78.00000286,634,bike,average,5,0,2016-10-04,11:59:00,2016-10-04 11:59:00,92.28529839883551,0.8823529411764706,BHMNCPHST01
2632,BHMEURBRD01,470,26.14901995,91.7395035,460,bike,average,5,0,2016-10-04,11:59:00,2016-10-04 11:59:00,97.87234042553192,-0.11764705882352941,Shopping
17065,Shopping,1920,26.15050395,91.73353109,1460,cycle,high,10,0,2016-10-04,12:29:00,2016-10-04 12:29:00,76.04166666666666,0.43333333333333335,BHMEURBRD01
11817,Others-CCCPS135a,3883,26.14749943,91.72800489,3251,car,high,11,0,2016-10-04,12:29:00,2016-10-04 12:29:00,83.72392480041205,0.1,Others-CCCPS202
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,2016-10-04,12:29:00,2016-10-04 12:29:00,46.10051993067591,0.23333333333333334,BHMBCCTHL01
13129,Others-CCCPS202,2937,26.14749053,91.72799688,1397,car,high,10,0,2016-10-04,12:29:00,2016-10-04 12:29:00,47.565543071161045,0.23333333333333334,Others-CCCPS135a
5257,BHMNCPHST01,1200,26.14001386,91.73099967,779,cycle,high,9,0,2016-10-04,12:29:00,2016-10-04 12:29:00,64.91666666666667,0.26666666666666666,BHMNCPNST01
9193,Others-CCCPS105a,2009,26.14747299,91.72804914,1484,car,high,10,0,2016-10-04,12:29:00,2016-10-04 12:29:00,73.86759581881533,0.4666666666666667,Others-CCCPS202
2633,BHMEURBRD01,470,26.14901995,91.7395035,464,car,high,8,0,2016-10-04,12:29:00,2016-10-04 12:29:00,98.72340425531915,0.13333333333333333,Shopping
10505,Others-CCCPS119a,2803,26.14754061,91.72797041,604,car,high,9,0,2016-10-04,12:29:00,2016-10-04 12:29:00,21.54834106314663,-0.03333333333333333,Others-CCCPS8
7881,Broad Street,690,26.13795775,91.74099445,683,car,high,9,0,2016-10-04,12:29:00,2016-10-04 12:29:00,98.98550724637681,0.2,BHMBCCTHL01
1321,BHMBCCTHL01,387,26.14449459,91.73620513,334,car,high,8,0,2016-10-04,12:29:00,2016-10-04 12:29:00,86.30490956072352,0.06666666666666667,BHMBCCMKT01
3945,BHMMBMMBX01,687,20.0000347,78.00000286,648,bike,high,9,0,2016-10-04,12:29:00,2016-10-04 12:29:00,94.32314410480349,0.4666666666666667,BHMNCPHST01
15753,Others-CCCPS98,3103,26.14749998,91.72797778,1297,truck,high,10,0,2016-10-04,12:29:00,2016-10-04 12:29:00,41.79825974863036,0.3,Others-CCCPS135a
14441,Others-CCCPS8,1322,26.14754886,91.72799519,836,car,high,9,0,2016-10-04,12:29:00,2016-10-04 12:29:00,63.2375189107413,0.0,Others-CCCPS119a
6569,BHMNCPNST01,485,26.14004753,91.73097233,379,car,average,6,0,2016-10-04,12:29:00,2016-10-04 12:29:00,78.14432989690722,-0.06666666666666667,BHMNCPHST01
6570,BHMNCPNST01,485,26.14004753,91.73097233,374,bike,high,8,0,2016-10-04,12:56:00,2016-10-04 12:56:00,77.11340206185568,-0.18518518518518517,BHMNCPHST01
17066,Shopping,1920,26.15050395,91.73353109,1448,car,high,9,0,2016-10-04,13:02:00,2016-10-04 13:02:00,75.41666666666667,-0.36363636363636365,BHMEURBRD01
14442,Others-CCCPS8,1322,26.14754886,91.72799519,810,car,high,8,0,2016-10-04,13:02:00,2016-10-04 13:02:00,61.27080181543116,-0.7878787878787878,Others-CCCPS119a
11818,Others-CCCPS135a,3883,26.14749943,91.72800489,3232,car,high,10,0,2016-10-04,13:02:00,2016-10-04 13:02:00,83.23461241308266,-0.5757575757575758,Others-CCCPS202
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,2016-10-04,13:02:00,2016-10-04 13:02:00,46.62045060658579,0.09090909090909091,BHMBCCTHL01
15754,Others-CCCPS98,3103,26.14749998,91.72797778,1288,bike,high,9,0,2016-10-04,13:02:00,2016-10-04 13:02:00,41.50821785368998,-0.2727272727272727,Others-CCCPS135a
7882,Broad Street,690,26.13795775,91.74099445,660,bike,high,8,0,2016-10-04,13:02:00,2016-10-04 13:02:00,95.65217391304348,-0.696969696969697,BHMBCCTHL01
1322,BHMBCCTHL01,387,26.14449459,91.73620513,333,car,high,7,0,2016-10-04,13:02:00,2016-10-04 13:02:00,86.04651162790698,-0.030303030303030304,BHMBCCMKT01
9194,Others-CCCPS105a,2009,26.14747299,91.72804914,1461,bike,high,8,0,2016-10-04,13:02:00,2016-10-04 13:02:00,72.72274763563962,-0.696969696969697,Others-CCCPS202
2634,BHMEURBRD01,470,26.14901995,91.7395035,458,car,high,8,0,2016-10-04,13:02:00,2016-10-04 13:02:00,97.44680851063829,-0.18181818181818182,Shopping
3946,BHMMBMMBX01,687,20.0000347,78.00000286,651,truck,average,6,0,2016-10-04,13:02:00,2016-10-04 13:02:00,94.75982532751091,0.09090909090909091,BHMNCPHST01
13130,Others-CCCPS202,2937,26.14749053,91.72799688,1367,car,high,9,0,2016-10-04,13:02:00,2016-10-04 13:02:00,46.54409261150834,-0.9090909090909091,Others-CCCPS135a
5258,BHMNCPHST01,1200,26.14001386,91.73099967,773,truck,high,7,0,2016-10-04,13:02:00,2016-10-04 13:02:00,64.41666666666667,-0.18181818181818182,BHMNCPNST01
